50
 8.92062058076386E-0006,8.92062058076386E-0006,1.00000000000000E+0009
 1.18261680920356E-0005,1.18261680920356E-0005,5.68986602901831E+0008
 1.56780854509908E-0005,1.56780854509908E-0005,3.23745754281766E+0008
 2.07846160730714E-0005,2.07846160730714E-0005,1.84206996932673E+0008
 2.75544017574976E-0005,2.75544017574976E-0005,1.04811313415469E+0008
 3.65291835819506E-0005,3.65291835819506E-0005,5.96362331659468E+0007
 4.84271538503196E-0005,4.84271538503196E-0005,3.39322177189535E+0007
 6.42004282625495E-0005,6.42004282625495E-0005,1.93069772888326E+0007
 8.51112374234143E-0005,8.51112374234143E-0005,1.09854114198756E+0007
 1.12832934791658E-0004,1.12832934791658E-0004,6.25055192527400E+0006
 1.49583904066190E-0004,1.49583904066190E-0004,3.55648030622314E+0006
 1.98305081729888E-0004,1.98305081729888E-0004,2.02358964772516E+0006
 2.62895300703588E-0004,2.62895300703588E-0004,1.15139539932645E+0006
 3.48523288102976E-0004,3.48523288102976E-0004,6.55128556859552E+0005
 4.62041284210952E-0004,4.62041284210952E-0004,3.72759372031494E+0005
 6.12533381850309E-0004,6.12533381850309E-0004,2.12095088792019E+0005
 8.12042466122301E-0004,8.12042466122301E-0004,1.20679264063932E+0005
 1.07653392668015E-0003,1.07653392668015E-0003,6.86648845004299E+0004
 1.42717326204323E-0003,1.42717326204323E-0003,3.90693993705461E+0004
 1.89201981415702E-0003,1.89201981415702E-0003,2.22299648252619E+0004
 2.50827217154965E-0003,2.50827217154965E-0003,1.26485521685529E+0004
 3.32524492581676E-0003,3.32524492581676E-0003,7.19685673001150E+0003
 4.40831499152612E-0003,4.40831499152612E-0003,4.09491506238042E+0003
 5.84415328736744E-0003,5.84415328736744E-0003,2.32995181051537E+0003
 7.74766043531381E-0003,7.74766043531381E-0003,1.32571136559011E+0003
 1.02711614958283E-0002,1.02711614958283E-0002,7.54312006335461E+0002
 1.36165955328311E-0002,1.36165955328311E-0002,4.29193426012878E+0002
 1.80516754585177E-0002,1.80516754585177E-0002,2.44205309454865E+0002
 2.39313113233010E-0002,2.39313113233010E-0002,1.38949549437314E+0002
 3.17260114147754E-0002,3.17260114147754E-0002,7.90604321090770E+0001
 4.20595339174093E-0002,4.20595339174093E-0002,4.49843266896944E+0001
 5.57588021457322E-0002,5.57588021457322E-0002,2.55954792269953E+0001
 7.39200777362873E-0002,7.39200777362873E-0002,1.45634847750124E+0001
 9.79966872003005E-0002,9.79966872003005E-0002,8.28642772854684E+0000
 1.29915322011617E-0001,1.29915322011617E-0001,4.71486636345739E+0000
 1.72230218955100E-0001,1.72230218955100E-0001,2.68269579527972E+0000
 2.28327558766849E-0001,2.28327558766849E-0001,1.52641796717523E+0000
 3.02696439734655E-0001,3.02696439734655E-0001,8.68511373751352E-0001
 4.01288110479893E-0001,4.01288110479893E-0001,4.94171336132383E-0001
 5.31992208939374E-0001,5.31992208939374E-0001,2.81176869797423E-0001
 7.05268117796316E-0001,7.05268117796316E-0001,1.59985871960606E-0001
 9.34981959550920E-0001,9.34981959550920E-0001,9.10298177991521E-0002
 1.23951621039837E+0000,1.23951621039837E+0000,5.17947467923120E-0002
 1.64324072795830E+0000,1.64324072795830E+0000,2.94705170255181E-0002
 2.17846290945488E+0000,2.17846290945488E+0000,1.67683293681101E-0002
 2.88801303858083E+0000,2.88801303858083E+0000,9.54095476349993E-0003
 3.82867170921903E+0000,3.82867170921903E+0000,5.42867543932386E-0003
 5.07571360002497E+0000,5.07571360002497E+0000,3.08884359647748E-0003
 6.72893120803340E+0000,6.72893120803340E+0000,1.75751062485479E-0003
 8.92062058076386E+0000,8.92062058076386E+0000,1.00000000000000E-0003
